Main_Specialty_Code,Main_Specialty_Desc,Age_Group,Attendance_Count,Gender
451,Special Care Dentistry,0,2,Female
460,Medical Ophthalmology,0,40,Female
499,"Non-UK Provider; specialty function not known, treatment mainly medical",0,0,Female
500,Obstetrics and Gynaecology,0,0,Female
501,Obstetrics,0,7324,Female
502,Gynaecology,0,402,Female
504,Community Sexual and Reproductive Health,0,0,Female
560,Midwifery,0,104503,Female
600,General Medical Practice,0,251,Female
601,General Dental Practice,0,0,Female
700,Learning Disability,0,0,Female
710,Adult Mental Illness,0,405,Female
711,Child and Adolescent Psychiatry,0,276,Female
712,Forensic Psychiatry,0,0,Female
713,Medical Psychotherapy,0,134,Female
715,Old Age Psychiatry,0,0,Female
800,Clinical Oncology,0,781,Female
810,Radiology,0,21838,Female
820,General Pathology,0,1,Female
821,Blood Transfusion,0,0,Female
822,Chemical Pathology,0,13,Female
823,Haematology,0,225,Female
824,Histopathology,0,1,Female
830,Immunopathology,0,0,Female
831,Medical Microbiology and Virology,0,0,Female
833,Medical Microbiology,0,0,Female
834,Medical Virology,0,0,Female
900,Community Medicine,0,504,Female
901,Occupational Medicine,0,9,Female
902,Community Health Services Dental,0,23,Female
903,Public Health Medicine,0,11,Female
950,Nursing,0,31541,Female
960,Allied Health Professional,0,59902,Female
990,Joint Consultant Clinics (Retired 1 April 2004),0,0,Female
&,Not Known,1-4,28655,Female
100,General Surgery,1-4,3222,Female
101,Urology,1-4,1608,Female
107,Vascular Surgery,1-4,29,Female
110,Trauma and Orthopaedics,1-4,53686,Female
120,Ear Nose and Throat,1-4,52900,Female
130,Ophthalmology,1-4,100214,Female
140,Oral Surgery,1-4,1756,Female
141,Restorative Dentistry,1-4,7,Female
142,Paediatric Dentistry,1-4,5221,Female
143,Orthodontics,1-4,253,Female
145,Oral and Maxillofacial Surgery,1-4,1595,Female
146,Endodontics,1-4,0,Female
147,Periodontics,1-4,0,Female
148,Prosthodontics,1-4,0,Female
149,Surgical Dentistry,1-4,0,Female
150,Neurosurgery,1-4,2723,Female
160,Plastic Surgery,1-4,17938,Female
170,Cardiothoracic Surgery,1-4,409,Female
171,Paediatric Surgery,1-4,10410,Female
180,Emergency Medicine,1-4,6672,Female
190,Anaesthetics,1-4,3900,Female
191,Pain Management (Retired 1 April 2004),1-4,0,Female
192,Intensive Care Medicine,1-4,1321,Female
300,General Internal Medicine,1-4,30437,Female
301,Gastroenterology,1-4,2043,Female
302,Endocrinology and Diabetes,1-4,2749,Female
303,Clinical Haematology,1-4,3547,Female
304,Clinical Physiology,1-4,419,Female
305,Clinical Pharmacology,1-4,0,Female
310,Audio Vestibular Medicine,1-4,17868,Female
311,Clinical Genetics,1-4,3689,Female
313,Clinical Immunology,1-4,1344,Female
314,Rehabilitation Medicine,1-4,259,Female
315,Palliative Medicine,1-4,1588,Female
317,Allergy,1-4,1052,Female
320,Cardiology,1-4,3761,Female
321,Paediatric Cardiology,1-4,12112,Female
325,Sport and Exercise Medicine,1-4,0,Female
326,Acute Internal Medicine,1-4,6,Female
330,Dermatology,1-4,22464,Female
340,Respiratory Medicine,1-4,2411,Female
350,Infectious Diseases,1-4,364,Female
352,Tropical Medicine,1-4,0,Female
360,Genitourinary Medicine,1-4,101,Female
361,Renal Medicine,1-4,1175,Female
370,Medical Oncology,1-4,1196,Female
371,Nuclear Medicine,1-4,37,Female
400,Neurology,1-4,1954,Female
401,Clinical Neurophysiology,1-4,2197,Female
410,Rheumatology,1-4,1020,Female
420,Paediatrics,1-4,289739,Female
421,Paediatric Neurology,1-4,3774,Female
430,Geriatric Medicine,1-4,13,Female
450,Dental Medicine,1-4,339,Female
451,Special Care Dentistry,1-4,92,Female
460,Medical Ophthalmology,1-4,175,Female
499,"Non-UK Provider; specialty function not known, treatment mainly medical",1-4,0,Female
500,Obstetrics and Gynaecology,1-4,0,Female
501,Obstetrics,1-4,455,Female
502,Gynaecology,1-4,444,Female
504,Community Sexual and Reproductive Health,1-4,0,Female
560,Midwifery,1-4,44,Female
600,General Medical Practice,1-4,473,Female
601,General Dental Practice,1-4,1,Female
700,Learning Disability,1-4,57,Female
710,Adult Mental Illness,1-4,290,Female
711,Child and Adolescent Psychiatry,1-4,1385,Female
712,Forensic Psychiatry,1-4,4,Female
713,Medical Psychotherapy,1-4,195,Female
715,Old Age Psychiatry,1-4,0,Female
800,Clinical Oncology,1-4,431,Female
810,Radiology,1-4,17168,Female
820,General Pathology,1-4,1,Female
821,Blood Transfusion,1-4,0,Female
822,Chemical Pathology,1-4,36,Female
823,Haematology,1-4,782,Female
824,Histopathology,1-4,0,Female
830,Immunopathology,1-4,0,Female
831,Medical Microbiology and Virology,1-4,0,Female
833,Medical Microbiology,1-4,0,Female
834,Medical Virology,1-4,1,Female
900,Community Medicine,1-4,2337,Female
901,Occupational Medicine,1-4,223,Female
902,Community Health Services Dental,1-4,66,Female
903,Public Health Medicine,1-4,22,Female
950,Nursing,1-4,52764,Female
960,Allied Health Professional,1-4,143394,Female
990,Joint Consultant Clinics (Retired 1 April 2004),1-4,0,Female
&,Not Known,5-9,8326,Female
100,General Surgery,5-9,4634,Female
101,Urology,5-9,3829,Female
107,Vascular Surgery,5-9,44,Female
110,Trauma and Orthopaedics,5-9,102973,Female
120,Ear Nose and Throat,5-9,91535,Female
130,Ophthalmology,5-9,143418,Female
140,Oral Surgery,5-9,4173,Female
141,Restorative Dentistry,5-9,225,Female
142,Paediatric Dentistry,5-9,21164,Female
143,Orthodontics,5-9,4529,Female
145,Oral and Maxillofacial Surgery,5-9,2778,Female
146,Endodontics,5-9,0,Female
147,Periodontics,5-9,0,Female
148,Prosthodontics,5-9,12,Female
149,Surgical Dentistry,5-9,0,Female
150,Neurosurgery,5-9,2891,Female
160,Plastic Surgery,5-9,14986,Female
170,Cardiothoracic Surgery,5-9,302,Female
171,Paediatric Surgery,5-9,11449,Female
180,Emergency Medicine,5-9,5763,Female
190,Anaesthetics,5-9,5537,Female
191,Pain Management (Retired 1 April 2004),5-9,0,Female
192,Intensive Care Medicine,5-9,1795,Female
300,General Internal Medicine,5-9,17750,Female
301,Gastroenterology,5-9,3660,Female
302,Endocrinology and Diabetes,5-9,5021,Female
303,Clinical Haematology,5-9,5660,Female
304,Clinical Physiology,5-9,830,Female
305,Clinical Pharmacology,5-9,3,Female
310,Audio Vestibular Medicine,5-9,18297,Female
311,Clinical Genetics,5-9,3408,Female
313,Clinical Immunology,5-9,1545,Female
314,Rehabilitation Medicine,5-9,895,Female
315,Palliative Medicine,5-9,1428,Female
317,Allergy,5-9,1098,Female
320,Cardiology,5-9,4964,Female
321,Paediatric Cardiology,5-9,14501,Female
325,Sport and Exercise Medicine,5-9,40,Female
326,Acute Internal Medicine,5-9,47,Female
330,Dermatology,5-9,33065,Female
340,Respiratory Medicine,5-9,3852,Female
350,Infectious Diseases,5-9,309,Female
352,Tropical Medicine,5-9,0,Female
360,Genitourinary Medicine,5-9,486,Female
361,Renal Medicine,5-9,1949,Female
370,Medical Oncology,5-9,1634,Female
371,Nuclear Medicine,5-9,54,Female
400,Neurology,5-9,2843,Female
401,Clinical Neurophysiology,5-9,2283,Female
410,Rheumatology,5-9,2905,Female
420,Paediatrics,5-9,343475,Female
421,Paediatric Neurology,5-9,5565,Female
430,Geriatric Medicine,5-9,10,Female
450,Dental Medicine,5-9,1687,Female
451,Special Care Dentistry,5-9,599,Female
460,Medical Ophthalmology,5-9,373,Female
499,"Non-UK Provider; specialty function not known, treatment mainly medical",5-9,0,Female
500,Obstetrics and Gynaecology,5-9,0,Female
501,Obstetrics,5-9,247,Female
502,Gynaecology,5-9,1025,Female
504,Community Sexual and Reproductive Health,5-9,0,Female
560,Midwifery,5-9,29,Female
600,General Medical Practice,5-9,500,Female
601,General Dental Practice,5-9,58,Female
700,Learning Disability,5-9,745,Female
710,Adult Mental Illness,5-9,3408,Female
711,Child and Adolescent Psychiatry,5-9,15707,Female
712,Forensic Psychiatry,5-9,2,Female
713,Medical Psychotherapy,5-9,984,Female
715,Old Age Psychiatry,5-9,0,Female
800,Clinical Oncology,5-9,793,Female
810,Radiology,5-9,32839,Female
820,General Pathology,5-9,0,Female
821,Blood Transfusion,5-9,0,Female
822,Chemical Pathology,5-9,44,Female
823,Haematology,5-9,1048,Female
824,Histopathology,5-9,0,Female
830,Immunopathology,5-9,0,Female
831,Medical Microbiology and Virology,5-9,1,Female
833,Medical Microbiology,5-9,0,Female
834,Medical Virology,5-9,18,Female
900,Community Medicine,5-9,2953,Female
901,Occupational Medicine,5-9,345,Female
902,Community Health Services Dental,5-9,234,Female
903,Public Health Medicine,5-9,23,Female
950,Nursing,5-9,75637,Female
960,Allied Health Professional,5-9,193286,Female
990,Joint Consultant Clinics (Retired 1 April 2004),5-9,0,Female
&,Not Known,10-14,14368,Female
100,General Surgery,10-14,7016,Female
101,Urology,10-14,4058,Female
107,Vascular Surgery,10-14,66,Female
110,Trauma and Orthopaedics,10-14,156223,Female
120,Ear Nose and Throat,10-14,55304,Female
130,Ophthalmology,10-14,67574,Female
140,Oral Surgery,10-14,13333,Female
141,Restorative Dentistry,10-14,1028,Female
142,Paediatric Dentistry,10-14,16680,Female
143,Orthodontics,10-14,80167,Female
145,Oral and Maxillofacial Surgery,10-14,9760,Female
146,Endodontics,10-14,3,Female
147,Periodontics,10-14,8,Female
148,Prosthodontics,10-14,26,Female
149,Surgical Dentistry,10-14,0,Female
150,Neurosurgery,10-14,3720,Female
160,Plastic Surgery,10-14,19838,Female
170,Cardiothoracic Surgery,10-14,352,Female
171,Paediatric Surgery,10-14,11523,Female
180,Emergency Medicine,10-14,6447,Female
190,Anaesthetics,10-14,5053,Female
191,Pain Management (Retired 1 April 2004),10-14,0,Female
192,Intensive Care Medicine,10-14,1431,Female
300,General Internal Medicine,10-14,17423,Female
301,Gastroenterology,10-14,5522,Female
302,Endocrinology and Diabetes,10-14,6823,Female
303,Clinical Haematology,10-14,6503,Female
304,Clinical Physiology,10-14,1134,Female
305,Clinical Pharmacology,10-14,9,Female
310,Audio Vestibular Medicine,10-14,9633,Female
311,Clinical Genetics,10-14,2855,Female
313,Clinical Immunology,10-14,1474,Female
314,Rehabilitation Medicine,10-14,2716,Female
315,Palliative Medicine,10-14,1442,Female
317,Allergy,10-14,972,Female
320,Cardiology,10-14,8039,Female
321,Paediatric Cardiology,10-14,17174,Female
325,Sport and Exercise Medicine,10-14,211,Female
326,Acute Internal Medicine,10-14,96,Female
330,Dermatology,10-14,45766,Female
340,Respiratory Medicine,10-14,4938,Female
350,Infectious Diseases,10-14,279,Female
352,Tropical Medicine,10-14,0,Female
360,Genitourinary Medicine,10-14,313,Female
361,Renal Medicine,10-14,2803,Female
370,Medical Oncology,10-14,2027,Female
371,Nuclear Medicine,10-14,58,Female
400,Neurology,10-14,3215,Female
401,Clinical Neurophysiology,10-14,2619,Female
410,Rheumatology,10-14,6027,Female
420,Paediatrics,10-14,343264,Female
421,Paediatric Neurology,10-14,6446,Female
430,Geriatric Medicine,10-14,12,Female
450,Dental Medicine,10-14,6203,Female
451,Special Care Dentistry,10-14,767,Female
460,Medical Ophthalmology,10-14,193,Female
499,"Non-UK Provider; specialty function not known, treatment mainly medical",10-14,0,Female
500,Obstetrics and Gynaecology,10-14,0,Female
501,Obstetrics,10-14,1833,Female
502,Gynaecology,10-14,5551,Female
504,Community Sexual and Reproductive Health,10-14,0,Female
560,Midwifery,10-14,655,Female
600,General Medical Practice,10-14,613,Female
601,General Dental Practice,10-14,742,Female
700,Learning Disability,10-14,1285,Female
710,Adult Mental Illness,10-14,19388,Female
711,Child and Adolescent Psychiatry,10-14,90049,Female
712,Forensic Psychiatry,10-14,47,Female
713,Medical Psychotherapy,10-14,2165,Female
715,Old Age Psychiatry,10-14,60,Female
800,Clinical Oncology,10-14,727,Female
810,Radiology,10-14,51544,Female
820,General Pathology,10-14,1,Female
821,Blood Transfusion,10-14,0,Female
822,Chemical Pathology,10-14,89,Female
823,Haematology,10-14,1403,Female
824,Histopathology,10-14,0,Female
830,Immunopathology,10-14,0,Female
831,Medical Microbiology and Virology,10-14,1,Female
833,Medical Microbiology,10-14,0,Female
834,Medical Virology,10-14,12,Female
900,Community Medicine,10-14,4900,Female
901,Occupational Medicine,10-14,1002,Female
902,Community Health Services Dental,10-14,102,Female
903,Public Health Medicine,10-14,36,Female
950,Nursing,10-14,70642,Female
960,Allied Health Professional,10-14,234437,Female
990,Joint Consultant Clinics (Retired 1 April 2004),10-14,0,Female
&,Not Known,15,4600,Female
100,General Surgery,15,2970,Female
101,Urology,15,692,Female
107,Vascular Surgery,15,20,Female
110,Trauma and Orthopaedics,15,29350,Female
120,Ear Nose and Throat,15,10280,Female
130,Ophthalmology,15,12784,Female
140,Oral Surgery,15,5155,Female
141,Restorative Dentistry,15,722,Female
142,Paediatric Dentistry,15,2605,Female
143,Orthodontics,15,35469,Female
145,Oral and Maxillofacial Surgery,15,3666,Female
146,Endodontics,15,13,Female
147,Periodontics,15,11,Female
148,Prosthodontics,15,10,Female
149,Surgical Dentistry,15,0,Female
150,Neurosurgery,15,967,Female
160,Plastic Surgery,15,4122,Female
170,Cardiothoracic Surgery,15,102,Female
171,Paediatric Surgery,15,2808,Female
180,Emergency Medicine,15,1128,Female
190,Anaesthetics,15,1404,Female
191,Pain Management (Retired 1 April 2004),15,0,Female
192,Intensive Care Medicine,15,334,Female
300,General Internal Medicine,15,4351,Female
301,Gastroenterology,15,1798,Female
302,Endocrinology and Diabetes,15,1778,Female
303,Clinical Haematology,15,1573,Female
304,Clinical Physiology,15,353,Female
305,Clinical Pharmacology,15,3,Female
310,Audio Vestibular Medicine,15,1790,Female
311,Clinical Genetics,15,554,Female
313,Clinical Immunology,15,388,Female
314,Rehabilitation Medicine,15,1034,Female
315,Palliative Medicine,15,340,Female
317,Allergy,15,199,Female
320,Cardiology,15,2457,Female
321,Paediatric Cardiology,15,4312,Female
325,Sport and Exercise Medicine,15,117,Female
326,Acute Internal Medicine,15,35,Female
330,Dermatology,15,14919,Female
340,Respiratory Medicine,15,962,Female
350,Infectious Diseases,15,50,Female
352,Tropical Medicine,15,0,Female
360,Genitourinary Medicine,15,105,Female
361,Renal Medicine,15,745,Female
370,Medical Oncology,15,510,Female
371,Nuclear Medicine,15,14,Female
400,Neurology,15,818,Female
401,Clinical Neurophysiology,15,717,Female
410,Rheumatology,15,1908,Female
420,Paediatrics,15,76711,Female
421,Paediatric Neurology,15,1637,Female
430,Geriatric Medicine,15,7,Female
450,Dental Medicine,15,2148,Female
451,Special Care Dentistry,15,127,Female
460,Medical Ophthalmology,15,58,Female
499,"Non-UK Provider; specialty function not known, treatment mainly medical",15,0,Female
500,Obstetrics and Gynaecology,15,0,Female
501,Obstetrics,15,2355,Female
502,Gynaecology,15,4421,Female
504,Community Sexual and Reproductive Health,15,0,Female
560,Midwifery,15,1465,Female
600,General Medical Practice,15,214,Female
601,General Dental Practice,15,303,Female
700,Learning Disability,15,180,Female
710,Adult Mental Illness,15,8210,Female
711,Child and Adolescent Psychiatry,15,43368,Female
712,Forensic Psychiatry,15,34,Female
713,Medical Psychotherapy,15,498,Female
715,Old Age Psychiatry,15,30,Female
800,Clinical Oncology,15,240,Female
810,Radiology,15,13857,Female
820,General Pathology,15,1,Female
821,Blood Transfusion,15,0,Female
822,Chemical Pathology,15,17,Female
823,Haematology,15,348,Female
824,Histopathology,15,0,Female
830,Immunopathology,15,0,Female
831,Medical Microbiology and Virology,15,2,Female
833,Medical Microbiology,15,0,Female
834,Medical Virology,15,4,Female
900,Community Medicine,15,1330,Female
901,Occupational Medicine,15,330,Female
902,Community Health Services Dental,15,12,Female
903,Public Health Medicine,15,16,Female
950,Nursing,15,15885,Female
960,Allied Health Professional,15,61655,Female
990,Joint Consultant Clinics (Retired 1 April 2004),15,1,Female
&,Not Known,16,4710,Female
100,General Surgery,16,5964,Female
101,Urology,16,1241,Female
107,Vascular Surgery,16,32,Female
110,Trauma and Orthopaedics,16,24409,Female
120,Ear Nose and Throat,16,10433,Female
130,Ophthalmology,16,12533,Female
140,Oral Surgery,16,5458,Female
141,Restorative Dentistry,16,1172,Female
142,Paediatric Dentistry,16,1203,Female
143,Orthodontics,16,37256,Female
145,Oral and Maxillofacial Surgery,16,3847,Female
146,Endodontics,16,30,Female
147,Periodontics,16,18,Female
148,Prosthodontics,16,29,Female
149,Surgical Dentistry,16,3,Female
150,Neurosurgery,16,962,Female
160,Plastic Surgery,16,3725,Female
170,Cardiothoracic Surgery,16,132,Female
171,Paediatric Surgery,16,1662,Female
180,Emergency Medicine,16,1036,Female
190,Anaesthetics,16,2378,Female
191,Pain Management (Retired 1 April 2004),16,0,Female
192,Intensive Care Medicine,16,298,Female
300,General Internal Medicine,16,6161,Female
301,Gastroenterology,16,3134,Female
302,Endocrinology and Diabetes,16,2412,Female
303,Clinical Haematology,16,2039,Female
304,Clinical Physiology,16,541,Female
305,Clinical Pharmacology,16,5,Female
310,Audio Vestibular Medicine,16,1700,Female
311,Clinical Genetics,16,597,Female
313,Clinical Immunology,16,474,Female
314,Rehabilitation Medicine,16,1208,Female
315,Palliative Medicine,16,251,Female
317,Allergy,16,343,Female
320,Cardiology,16,4330,Female
321,Paediatric Cardiology,16,3400,Female
325,Sport and Exercise Medicine,16,71,Female
326,Acute Internal Medicine,16,339,Female
330,Dermatology,16,16565,Female
340,Respiratory Medicine,16,1608,Female
350,Infectious Diseases,16,160,Female
352,Tropical Medicine,16,0,Female
360,Genitourinary Medicine,16,155,Female
361,Renal Medicine,16,885,Female
370,Medical Oncology,16,565,Female
371,Nuclear Medicine,16,16,Female
400,Neurology,16,3331,Female
401,Clinical Neurophysiology,16,747,Female
410,Rheumatology,16,2823,Female
420,Paediatrics,16,53951,Female
421,Paediatric Neurology,16,1319,Female
430,Geriatric Medicine,16,96,Female
450,Dental Medicine,16,2526,Female
451,Special Care Dentistry,16,180,Female
460,Medical Ophthalmology,16,86,Female
499,"Non-UK Provider; specialty function not known, treatment mainly medical",16,0,Female
500,Obstetrics and Gynaecology,16,0,Female
501,Obstetrics,16,5202,Female
502,Gynaecology,16,7715,Female
504,Community Sexual and Reproductive Health,16,3,Female
560,Midwifery,16,4899,Female
600,General Medical Practice,16,199,Female
601,General Dental Practice,16,324,Female
700,Learning Disability,16,206,Female
710,Adult Mental Illness,16,6275,Female
711,Child and Adolescent Psychiatry,16,45397,Female
712,Forensic Psychiatry,16,33,Female
713,Medical Psychotherapy,16,579,Female
715,Old Age Psychiatry,16,27,Female
800,Clinical Oncology,16,291,Female
810,Radiology,16,14064,Female
820,General Pathology,16,8,Female
821,Blood Transfusion,16,0,Female
822,Chemical Pathology,16,72,Female
823,Haematology,16,420,Female
824,Histopathology,16,9,Female
830,Immunopathology,16,16,Female
831,Medical Microbiology and Virology,16,1,Female
833,Medical Microbiology,16,2,Female
834,Medical Virology,16,18,Female
900,Community Medicine,16,972,Female
901,Occupational Medicine,16,286,Female
902,Community Health Services Dental,16,4,Female
903,Public Health Medicine,16,38,Female
950,Nursing,16,14222,Female
960,Allied Health Professional,16,55330,Female
990,Joint Consultant Clinics (Retired 1 April 2004),16,1,Female
&,Not Known,17,4050,Female
100,General Surgery,17,7838,Female
101,Urology,17,1992,Female
107,Vascular Surgery,17,33,Female
110,Trauma and Orthopaedics,17,20936,Female
120,Ear Nose and Throat,17,9957,Female
130,Ophthalmology,17,11567,Female
140,Oral Surgery,17,5012,Female
141,Restorative Dentistry,17,1466,Female
142,Paediatric Dentistry,17,552,Female
143,Orthodontics,17,35743,Female
145,Oral and Maxillofacial Surgery,17,3461,Female
146,Endodontics,17,67,Female
147,Periodontics,17,26,Female
148,Prosthodontics,17,27,Female
149,Surgical Dentistry,17,2,Female
150,Neurosurgery,17,955,Female
160,Plastic Surgery,17,3380,Female
170,Cardiothoracic Surgery,17,173,Female
171,Paediatric Surgery,17,885,Female
180,Emergency Medicine,17,1145,Female
190,Anaesthetics,17,2645,Female
191,Pain Management (Retired 1 April 2004),17,0,Female
192,Intensive Care Medicine,17,172,Female
300,General Internal Medicine,17,8118,Female
301,Gastroenterology,17,5507,Female
302,Endocrinology and Diabetes,17,3251,Female
303,Clinical Haematology,17,2966,Female
304,Clinical Physiology,17,679,Female
305,Clinical Pharmacology,17,12,Female
310,Audio Vestibular Medicine,17,1438,Female
311,Clinical Genetics,17,577,Female
313,Clinical Immunology,17,805,Female
314,Rehabilitation Medicine,17,1255,Female
315,Palliative Medicine,17,215,Female
317,Allergy,17,358,Female
320,Cardiology,17,6920,Female
321,Paediatric Cardiology,17,1974,Female
325,Sport and Exercise Medicine,17,87,Female
326,Acute Internal Medicine,17,491,Female
330,Dermatology,17,17937,Female
340,Respiratory Medicine,17,2604,Female
350,Infectious Diseases,17,233,Female
352,Tropical Medicine,17,0,Female
360,Genitourinary Medicine,17,208,Female
361,Renal Medicine,17,1429,Female
370,Medical Oncology,17,770,Female
371,Nuclear Medicine,17,19,Female
400,Neurology,17,6419,Female
401,Clinical Neurophysiology,17,738,Female
410,Rheumatology,17,3737,Female
420,Paediatrics,17,29996,Female
421,Paediatric Neurology,17,702,Female
430,Geriatric Medicine,17,203,Female
450,Dental Medicine,17,2420,Female
451,Special Care Dentistry,17,159,Female
460,Medical Ophthalmology,17,115,Female
499,"Non-UK Provider; specialty function not known, treatment mainly medical",17,0,Female
500,Obstetrics and Gynaecology,17,2,Female
501,Obstetrics,17,10505,Female
502,Gynaecology,17,12476,Female
504,Community Sexual and Reproductive Health,17,2,Female
560,Midwifery,17,11622,Female
600,General Medical Practice,17,216,Female
601,General Dental Practice,17,313,Female
700,Learning Disability,17,257,Female
710,Adult Mental Illness,17,6747,Female
711,Child and Adolescent Psychiatry,17,44203,Female
712,Forensic Psychiatry,17,16,Female
713,Medical Psychotherapy,17,506,Female
715,Old Age Psychiatry,17,40,Female
800,Clinical Oncology,17,472,Female
810,Radiology,17,15655,Female
820,General Pathology,17,4,Female
821,Blood Transfusion,17,0,Female
822,Chemical Pathology,17,116,Female
823,Haematology,17,440,Female
824,Histopathology,17,43,Female
830,Immunopathology,17,40,Female
831,Medical Microbiology and Virology,17,2,Female
833,Medical Microbiology,17,2,Female
834,Medical Virology,17,34,Female
900,Community Medicine,17,773,Female
901,Occupational Medicine,17,217,Female
902,Community Health Services Dental,17,0,Female
903,Public Health Medicine,17,40,Female
950,Nursing,17,14327,Female
960,Allied Health Professional,17,51543,Female
990,Joint Consultant Clinics (Retired 1 April 2004),17,1,Female
&,Not Known,18,1308,Female
100,General Surgery,18,9552,Female
101,Urology,18,2552,Female
107,Vascular Surgery,18,21,Female
110,Trauma and Orthopaedics,18,18305,Female
120,Ear Nose and Throat,18,9762,Female
130,Ophthalmology,18,10756,Female
140,Oral Surgery,18,4433,Female
141,Restorative Dentistry,18,1569,Female
142,Paediatric Dentistry,18,221,Female
143,Orthodontics,18,28360,Female
145,Oral and Maxillofacial Surgery,18,3383,Female
146,Endodontics,18,116,Female
147,Periodontics,18,20,Female
148,Prosthodontics,18,50,Female
149,Surgical Dentistry,18,9,Female
150,Neurosurgery,18,918,Female
160,Plastic Surgery,18,3168,Female
170,Cardiothoracic Surgery,18,184,Female
171,Paediatric Surgery,18,270,Female
180,Emergency Medicine,18,1393,Female
190,Anaesthetics,18,3012,Female
191,Pain Management (Retired 1 April 2004),18,0,Female
192,Intensive Care Medicine,18,83,Female
300,General Internal Medicine,18,9174,Female
301,Gastroenterology,18,6490,Female
302,Endocrinology and Diabetes,18,3828,Female
303,Clinical Haematology,18,3585,Female
304,Clinical Physiology,18,765,Female
305,Clinical Pharmacology,18,24,Female
310,Audio Vestibular Medicine,18,1255,Female
311,Clinical Genetics,18,625,Female
313,Clinical Immunology,18,1032,Female
314,Rehabilitation Medicine,18,941,Female
315,Palliative Medicine,18,153,Female
317,Allergy,18,312,Female
320,Cardiology,18,8106,Female
321,Paediatric Cardiology,18,777,Female
325,Sport and Exercise Medicine,18,59,Female
326,Acute Internal Medicine,18,721,Female
330,Dermatology,18,17264,Female
340,Respiratory Medicine,18,3316,Female
350,Infectious Diseases,18,311,Female
352,Tropical Medicine,18,0,Female
360,Genitourinary Medicine,18,203,Female
361,Renal Medicine,18,1623,Female
370,Medical Oncology,18,816,Female
371,Nuclear Medicine,18,22,Female
400,Neurology,18,7611,Female
401,Clinical Neurophysiology,18,839,Female
410,Rheumatology,18,4025,Female
420,Paediatrics,18,9848,Female
421,Paediatric Neurology,18,237,Female
430,Geriatric Medicine,18,247,Female
450,Dental Medicine,18,1928,Female
451,Special Care Dentistry,18,125,Female
460,Medical Ophthalmology,18,112,Female
499,"Non-UK Provider; specialty function not known, treatment mainly medical",18,0,Female
500,Obstetrics and Gynaecology,18,5,Female
501,Obstetrics,18,17947,Female
502,Gynaecology,18,19385,Female
504,Community Sexual and Reproductive Health,18,3,Female
560,Midwifery,18,24082,Female
600,General Medical Practice,18,166,Female
601,General Dental Practice,18,199,Female
700,Learning Disability,18,626,Female
710,Adult Mental Illness,18,12263,Female
711,Child and Adolescent Psychiatry,18,10870,Female
712,Forensic Psychiatry,18,31,Female
713,Medical Psychotherapy,18,297,Female
715,Old Age Psychiatry,18,13,Female
800,Clinical Oncology,18,834,Female
810,Radiology,18,16977,Female
820,General Pathology,18,6,Female
821,Blood Transfusion,18,0,Female
822,Chemical Pathology,18,154,Female
823,Haematology,18,599,Female
824,Histopathology,18,39,Female
830,Immunopathology,18,60,Female
831,Medical Microbiology and Virology,18,4,Female
833,Medical Microbiology,18,2,Female
834,Medical Virology,18,34,Female
900,Community Medicine,18,474,Female
901,Occupational Medicine,18,89,Female
902,Community Health Services Dental,18,0,Female
