Main_Specialty_Code,Main_Specialty_Desc,Age_Group,Attendance_Count,Gender
499,"Non-UK Provider; specialty function not known, treatment mainly medical",0,0,Male
501,Obstetrics,0,7920,Male
502,Gynaecology,0,470,Male
504,Community Sexual and Reproductive Health,0,0,Male
560,Midwifery,0,110837,Male
600,General Medical Practice,0,291,Male
601,General Dental Practice,0,0,Male
700,Learning Disability,0,0,Male
710,Adult Mental Illness,0,560,Male
711,Child and Adolescent Psychiatry,0,345,Male
712,Forensic Psychiatry,0,0,Male
713,Medical Psychotherapy,0,82,Male
715,Old Age Psychiatry,0,0,Male
800,Clinical Oncology,0,968,Male
810,Radiology,0,22738,Male
820,General Pathology,0,0,Male
821,Blood Transfusion,0,0,Male
822,Chemical Pathology,0,12,Male
823,Haematology,0,358,Male
824,Histopathology,0,0,Male
830,Immunopathology,0,0,Male
831,Medical Microbiology and Virology,0,0,Male
833,Medical Microbiology,0,0,Male
834,Medical Virology,0,0,Male
900,Community Medicine,0,620,Male
901,Occupational Medicine,0,17,Male
902,Community Health Services Dental,0,10,Male
903,Public Health Medicine,0,5,Male
950,Nursing,0,37588,Male
960,Allied Health Professional,0,69119,Male
990,Joint Consultant Clinics (Retired 1 April 2004),0,0,Male
&,Not Known,1-4,36543,Male
100,General Surgery,1-4,6235,Male
101,Urology,1-4,9757,Male
107,Vascular Surgery,1-4,40,Male
110,Trauma and Orthopaedics,1-4,60035,Male
120,Ear Nose and Throat,1-4,80998,Male
130,Ophthalmology,1-4,108323,Male
140,Oral Surgery,1-4,2204,Male
141,Restorative Dentistry,1-4,16,Male
142,Paediatric Dentistry,1-4,6434,Male
143,Orthodontics,1-4,269,Male
145,Oral and Maxillofacial Surgery,1-4,2106,Male
146,Endodontics,1-4,0,Male
147,Periodontics,1-4,0,Male
148,Prosthodontics,1-4,2,Male
149,Surgical Dentistry,1-4,0,Male
150,Neurosurgery,1-4,4181,Male
160,Plastic Surgery,1-4,23474,Male
170,Cardiothoracic Surgery,1-4,473,Male
171,Paediatric Surgery,1-4,27309,Male
180,Emergency Medicine,1-4,8254,Male
190,Anaesthetics,1-4,6504,Male
191,Pain Management (Retired 1 April 2004),1-4,0,Male
192,Intensive Care Medicine,1-4,2195,Male
300,General Internal Medicine,1-4,40889,Male
301,Gastroenterology,1-4,2548,Male
302,Endocrinology and Diabetes,1-4,2931,Male
303,Clinical Haematology,1-4,5007,Male
304,Clinical Physiology,1-4,475,Male
305,Clinical Pharmacology,1-4,8,Male
310,Audio Vestibular Medicine,1-4,29198,Male
311,Clinical Genetics,1-4,4763,Male
313,Clinical Immunology,1-4,1985,Male
314,Rehabilitation Medicine,1-4,454,Male
315,Palliative Medicine,1-4,1671,Male
317,Allergy,1-4,1449,Male
320,Cardiology,1-4,4226,Male
321,Paediatric Cardiology,1-4,14313,Male
325,Sport and Exercise Medicine,1-4,0,Male
326,Acute Internal Medicine,1-4,12,Male
330,Dermatology,1-4,25654,Male
340,Respiratory Medicine,1-4,2691,Male
350,Infectious Diseases,1-4,433,Male
352,Tropical Medicine,1-4,0,Male
360,Genitourinary Medicine,1-4,158,Male
361,Renal Medicine,1-4,2025,Male
370,Medical Oncology,1-4,1285,Male
371,Nuclear Medicine,1-4,61,Male
400,Neurology,1-4,2400,Male
401,Clinical Neurophysiology,1-4,2610,Male
410,Rheumatology,1-4,485,Male
420,Paediatrics,1-4,389201,Male
421,Paediatric Neurology,1-4,5215,Male
430,Geriatric Medicine,1-4,20,Male
450,Dental Medicine,1-4,403,Male
451,Special Care Dentistry,1-4,84,Male
460,Medical Ophthalmology,1-4,197,Male
499,"Non-UK Provider; specialty function not known, treatment mainly medical",1-4,0,Male
501,Obstetrics,1-4,483,Male
502,Gynaecology,1-4,209,Male
504,Community Sexual and Reproductive Health,1-4,0,Male
560,Midwifery,1-4,43,Male
600,General Medical Practice,1-4,706,Male
601,General Dental Practice,1-4,0,Male
700,Learning Disability,1-4,108,Male
710,Adult Mental Illness,1-4,480,Male
711,Child and Adolescent Psychiatry,1-4,2492,Male
712,Forensic Psychiatry,1-4,0,Male
713,Medical Psychotherapy,1-4,212,Male
715,Old Age Psychiatry,1-4,0,Male
800,Clinical Oncology,1-4,722,Male
810,Radiology,1-4,21705,Male
820,General Pathology,1-4,0,Male
821,Blood Transfusion,1-4,0,Male
822,Chemical Pathology,1-4,41,Male
823,Haematology,1-4,1277,Male
824,Histopathology,1-4,1,Male
830,Immunopathology,1-4,0,Male
831,Medical Microbiology and Virology,1-4,0,Male
833,Medical Microbiology,1-4,0,Male
834,Medical Virology,1-4,3,Male
900,Community Medicine,1-4,3342,Male
901,Occupational Medicine,1-4,233,Male
902,Community Health Services Dental,1-4,90,Male
903,Public Health Medicine,1-4,24,Male
950,Nursing,1-4,70827,Male
960,Allied Health Professional,1-4,190489,Male
990,Joint Consultant Clinics (Retired 1 April 2004),1-4,0,Male
&,Not Known,5-9,15884,Male
100,General Surgery,5-9,7667,Male
101,Urology,5-9,14070,Male
107,Vascular Surgery,5-9,72,Male
110,Trauma and Orthopaedics,5-9,115706,Male
120,Ear Nose and Throat,5-9,113713,Male
130,Ophthalmology,5-9,161964,Male
140,Oral Surgery,5-9,5242,Male
141,Restorative Dentistry,5-9,248,Male
142,Paediatric Dentistry,5-9,25093,Male
143,Orthodontics,5-9,5337,Male
145,Oral and Maxillofacial Surgery,5-9,3390,Male
146,Endodontics,5-9,0,Male
147,Periodontics,5-9,0,Male
148,Prosthodontics,5-9,15,Male
149,Surgical Dentistry,5-9,0,Male
150,Neurosurgery,5-9,3839,Male
160,Plastic Surgery,5-9,17708,Male
170,Cardiothoracic Surgery,5-9,370,Male
171,Paediatric Surgery,5-9,23988,Male
180,Emergency Medicine,5-9,6473,Male
190,Anaesthetics,5-9,7648,Male
191,Pain Management (Retired 1 April 2004),5-9,0,Male
192,Intensive Care Medicine,5-9,2336,Male
300,General Internal Medicine,5-9,23833,Male
301,Gastroenterology,5-9,4090,Male
302,Endocrinology and Diabetes,5-9,4693,Male
303,Clinical Haematology,5-9,8066,Male
304,Clinical Physiology,5-9,931,Male
305,Clinical Pharmacology,5-9,5,Male
310,Audio Vestibular Medicine,5-9,22258,Male
311,Clinical Genetics,5-9,4603,Male
313,Clinical Immunology,5-9,1952,Male
314,Rehabilitation Medicine,5-9,1543,Male
315,Palliative Medicine,5-9,1753,Male
317,Allergy,5-9,1486,Male
320,Cardiology,5-9,5771,Male
321,Paediatric Cardiology,5-9,16222,Male
325,Sport and Exercise Medicine,5-9,69,Male
326,Acute Internal Medicine,5-9,53,Male
330,Dermatology,5-9,29849,Male
340,Respiratory Medicine,5-9,5380,Male
350,Infectious Diseases,5-9,281,Male
352,Tropical Medicine,5-9,0,Male
360,Genitourinary Medicine,5-9,774,Male
361,Renal Medicine,5-9,2942,Male
370,Medical Oncology,5-9,2106,Male
371,Nuclear Medicine,5-9,57,Male
400,Neurology,5-9,3679,Male
401,Clinical Neurophysiology,5-9,2866,Male
410,Rheumatology,5-9,1771,Male
420,Paediatrics,5-9,436003,Male
421,Paediatric Neurology,5-9,7483,Male
430,Geriatric Medicine,5-9,5,Male
450,Dental Medicine,5-9,1841,Male
451,Special Care Dentistry,5-9,745,Male
460,Medical Ophthalmology,5-9,389,Male
499,"Non-UK Provider; specialty function not known, treatment mainly medical",5-9,0,Male
501,Obstetrics,5-9,28,Male
502,Gynaecology,5-9,385,Male
504,Community Sexual and Reproductive Health,5-9,0,Male
560,Midwifery,5-9,43,Male
600,General Medical Practice,5-9,615,Male
601,General Dental Practice,5-9,115,Male
700,Learning Disability,5-9,1976,Male
710,Adult Mental Illness,5-9,4689,Male
711,Child and Adolescent Psychiatry,5-9,27321,Male
712,Forensic Psychiatry,5-9,6,Male
713,Medical Psychotherapy,5-9,1280,Male
715,Old Age Psychiatry,5-9,1,Male
800,Clinical Oncology,5-9,953,Male
810,Radiology,5-9,34367,Male
820,General Pathology,5-9,0,Male
821,Blood Transfusion,5-9,0,Male
822,Chemical Pathology,5-9,42,Male
823,Haematology,5-9,1590,Male
824,Histopathology,5-9,2,Male
830,Immunopathology,5-9,1,Male
831,Medical Microbiology and Virology,5-9,1,Male
833,Medical Microbiology,5-9,1,Male
834,Medical Virology,5-9,28,Male
900,Community Medicine,5-9,5267,Male
901,Occupational Medicine,5-9,377,Male
902,Community Health Services Dental,5-9,286,Male
903,Public Health Medicine,5-9,27,Male
950,Nursing,5-9,92992,Male
960,Allied Health Professional,5-9,239794,Male
990,Joint Consultant Clinics (Retired 1 April 2004),5-9,0,Male
&,Not Known,10-14,19247,Male
100,General Surgery,10-14,8908,Male
101,Urology,10-14,13905,Male
107,Vascular Surgery,10-14,74,Male
110,Trauma and Orthopaedics,10-14,244768,Male
120,Ear Nose and Throat,10-14,65701,Male
130,Ophthalmology,10-14,67913,Male
140,Oral Surgery,10-14,10942,Male
141,Restorative Dentistry,10-14,1059,Male
142,Paediatric Dentistry,10-14,20267,Male
143,Orthodontics,10-14,63743,Male
145,Oral and Maxillofacial Surgery,10-14,8536,Male
146,Endodontics,10-14,21,Male
147,Periodontics,10-14,8,Male
148,Prosthodontics,10-14,9,Male
149,Surgical Dentistry,10-14,0,Male
150,Neurosurgery,10-14,3743,Male
160,Plastic Surgery,10-14,27477,Male
170,Cardiothoracic Surgery,10-14,643,Male
171,Paediatric Surgery,10-14,21845,Male
180,Emergency Medicine,10-14,8142,Male
190,Anaesthetics,10-14,5919,Male
191,Pain Management (Retired 1 April 2004),10-14,0,Male
192,Intensive Care Medicine,10-14,1833,Male
300,General Internal Medicine,10-14,19519,Male
301,Gastroenterology,10-14,6910,Male
302,Endocrinology and Diabetes,10-14,7315,Male
303,Clinical Haematology,10-14,8656,Male
304,Clinical Physiology,10-14,1087,Male
305,Clinical Pharmacology,10-14,23,Male
310,Audio Vestibular Medicine,10-14,10650,Male
311,Clinical Genetics,10-14,3479,Male
313,Clinical Immunology,10-14,1941,Male
314,Rehabilitation Medicine,10-14,2576,Male
315,Palliative Medicine,10-14,1566,Male
317,Allergy,10-14,1213,Male
320,Cardiology,10-14,8612,Male
321,Paediatric Cardiology,10-14,18863,Male
325,Sport and Exercise Medicine,10-14,135,Male
326,Acute Internal Medicine,10-14,70,Male
330,Dermatology,10-14,39565,Male
340,Respiratory Medicine,10-14,5541,Male
350,Infectious Diseases,10-14,270,Male
352,Tropical Medicine,10-14,0,Male
360,Genitourinary Medicine,10-14,328,Male
361,Renal Medicine,10-14,3721,Male
370,Medical Oncology,10-14,2457,Male
371,Nuclear Medicine,10-14,55,Male
400,Neurology,10-14,3732,Male
401,Clinical Neurophysiology,10-14,2708,Male
410,Rheumatology,10-14,3630,Male
420,Paediatrics,10-14,401060,Male
421,Paediatric Neurology,10-14,8310,Male
430,Geriatric Medicine,10-14,13,Male
450,Dental Medicine,10-14,5498,Male
451,Special Care Dentistry,10-14,712,Male
460,Medical Ophthalmology,10-14,178,Male
499,"Non-UK Provider; specialty function not known, treatment mainly medical",10-14,0,Male
501,Obstetrics,10-14,28,Male
502,Gynaecology,10-14,247,Male
504,Community Sexual and Reproductive Health,10-14,0,Male
560,Midwifery,10-14,51,Male
600,General Medical Practice,10-14,647,Male
601,General Dental Practice,10-14,579,Male
700,Learning Disability,10-14,3272,Male
710,Adult Mental Illness,10-14,11707,Male
711,Child and Adolescent Psychiatry,10-14,66179,Male
712,Forensic Psychiatry,10-14,140,Male
713,Medical Psychotherapy,10-14,1844,Male
715,Old Age Psychiatry,10-14,20,Male
800,Clinical Oncology,10-14,958,Male
810,Radiology,10-14,57146,Male
820,General Pathology,10-14,3,Male
821,Blood Transfusion,10-14,0,Male
822,Chemical Pathology,10-14,68,Male
823,Haematology,10-14,1811,Male
824,Histopathology,10-14,1,Male
830,Immunopathology,10-14,1,Male
831,Medical Microbiology and Virology,10-14,0,Male
833,Medical Microbiology,10-14,0,Male
834,Medical Virology,10-14,13,Male
900,Community Medicine,10-14,7029,Male
901,Occupational Medicine,10-14,1001,Male
902,Community Health Services Dental,10-14,126,Male
903,Public Health Medicine,10-14,57,Male
950,Nursing,10-14,81556,Male
960,Allied Health Professional,10-14,230694,Male
990,Joint Consultant Clinics (Retired 1 April 2004),10-14,2,Male
&,Not Known,15,3662,Male
100,General Surgery,15,2380,Male
101,Urology,15,2379,Male
107,Vascular Surgery,15,20,Male
110,Trauma and Orthopaedics,15,53946,Male
120,Ear Nose and Throat,15,11819,Male
130,Ophthalmology,15,12329,Male
140,Oral Surgery,15,4016,Male
141,Restorative Dentistry,15,607,Male
142,Paediatric Dentistry,15,2973,Male
143,Orthodontics,15,27872,Male
145,Oral and Maxillofacial Surgery,15,3068,Male
146,Endodontics,15,12,Male
147,Periodontics,15,3,Male
148,Prosthodontics,15,6,Male
149,Surgical Dentistry,15,0,Male
150,Neurosurgery,15,900,Male
160,Plastic Surgery,15,6261,Male
170,Cardiothoracic Surgery,15,299,Male
171,Paediatric Surgery,15,4317,Male
180,Emergency Medicine,15,1471,Male
190,Anaesthetics,15,1247,Male
191,Pain Management (Retired 1 April 2004),15,0,Male
192,Intensive Care Medicine,15,347,Male
300,General Internal Medicine,15,4293,Male
301,Gastroenterology,15,1899,Male
302,Endocrinology and Diabetes,15,1877,Male
303,Clinical Haematology,15,1621,Male
304,Clinical Physiology,15,284,Male
305,Clinical Pharmacology,15,1,Male
310,Audio Vestibular Medicine,15,1609,Male
311,Clinical Genetics,15,649,Male
313,Clinical Immunology,15,467,Male
314,Rehabilitation Medicine,15,803,Male
315,Palliative Medicine,15,407,Male
317,Allergy,15,203,Male
320,Cardiology,15,2446,Male
321,Paediatric Cardiology,15,5019,Male
325,Sport and Exercise Medicine,15,70,Male
326,Acute Internal Medicine,15,40,Male
330,Dermatology,15,13088,Male
340,Respiratory Medicine,15,1103,Male
350,Infectious Diseases,15,72,Male
352,Tropical Medicine,15,0,Male
360,Genitourinary Medicine,15,81,Male
361,Renal Medicine,15,814,Male
370,Medical Oncology,15,585,Male
371,Nuclear Medicine,15,10,Male
400,Neurology,15,806,Male
401,Clinical Neurophysiology,15,599,Male
410,Rheumatology,15,1002,Male
420,Paediatrics,15,74642,Male
421,Paediatric Neurology,15,1739,Male
430,Geriatric Medicine,15,13,Male
450,Dental Medicine,15,1922,Male
451,Special Care Dentistry,15,142,Male
460,Medical Ophthalmology,15,33,Male
499,"Non-UK Provider; specialty function not known, treatment mainly medical",15,0,Male
501,Obstetrics,15,11,Male
502,Gynaecology,15,94,Male
504,Community Sexual and Reproductive Health,15,0,Male
560,Midwifery,15,13,Male
600,General Medical Practice,15,204,Male
601,General Dental Practice,15,292,Male
700,Learning Disability,15,595,Male
710,Adult Mental Illness,15,2940,Male
711,Child and Adolescent Psychiatry,15,19077,Male
712,Forensic Psychiatry,15,90,Male
713,Medical Psychotherapy,15,351,Male
715,Old Age Psychiatry,15,15,Male
800,Clinical Oncology,15,191,Male
810,Radiology,15,13923,Male
820,General Pathology,15,0,Male
821,Blood Transfusion,15,0,Male
822,Chemical Pathology,15,21,Male
823,Haematology,15,363,Male
824,Histopathology,15,0,Male
830,Immunopathology,15,0,Male
831,Medical Microbiology and Virology,15,0,Male
833,Medical Microbiology,15,0,Male
834,Medical Virology,15,4,Male
900,Community Medicine,15,1448,Male
901,Occupational Medicine,15,267,Male
902,Community Health Services Dental,15,16,Male
903,Public Health Medicine,15,18,Male
950,Nursing,15,16414,Male
960,Allied Health Professional,15,52418,Male
990,Joint Consultant Clinics (Retired 1 April 2004),15,0,Male
&,Not Known,16,3678,Male
100,General Surgery,16,3801,Male
101,Urology,16,3619,Male
107,Vascular Surgery,16,23,Male
110,Trauma and Orthopaedics,16,42656,Male
120,Ear Nose and Throat,16,11712,Male
130,Ophthalmology,16,11328,Male
140,Oral Surgery,16,4132,Male
141,Restorative Dentistry,16,1064,Male
142,Paediatric Dentistry,16,1440,Male
143,Orthodontics,16,29083,Male
145,Oral and Maxillofacial Surgery,16,3525,Male
146,Endodontics,16,47,Male
147,Periodontics,16,8,Male
148,Prosthodontics,16,23,Male
149,Surgical Dentistry,16,6,Male
150,Neurosurgery,16,1005,Male
160,Plastic Surgery,16,5241,Male
170,Cardiothoracic Surgery,16,497,Male
171,Paediatric Surgery,16,2653,Male
180,Emergency Medicine,16,1182,Male
190,Anaesthetics,16,2184,Male
191,Pain Management (Retired 1 April 2004),16,0,Male
192,Intensive Care Medicine,16,323,Male
300,General Internal Medicine,16,5453,Male
301,Gastroenterology,16,3295,Male
302,Endocrinology and Diabetes,16,2050,Male
303,Clinical Haematology,16,2174,Male
304,Clinical Physiology,16,410,Male
305,Clinical Pharmacology,16,12,Male
310,Audio Vestibular Medicine,16,1454,Male
311,Clinical Genetics,16,709,Male
313,Clinical Immunology,16,488,Male
314,Rehabilitation Medicine,16,899,Male
315,Palliative Medicine,16,358,Male
317,Allergy,16,273,Male
320,Cardiology,16,4084,Male
321,Paediatric Cardiology,16,3876,Male
325,Sport and Exercise Medicine,16,74,Male
326,Acute Internal Medicine,16,282,Male
330,Dermatology,16,16049,Male
340,Respiratory Medicine,16,2191,Male
350,Infectious Diseases,16,242,Male
352,Tropical Medicine,16,0,Male
360,Genitourinary Medicine,16,158,Male
361,Renal Medicine,16,1355,Male
370,Medical Oncology,16,718,Male
371,Nuclear Medicine,16,14,Male
400,Neurology,16,2675,Male
401,Clinical Neurophysiology,16,636,Male
410,Rheumatology,16,1300,Male
420,Paediatrics,16,53721,Male
421,Paediatric Neurology,16,1387,Male
430,Geriatric Medicine,16,43,Male
450,Dental Medicine,16,1979,Male
451,Special Care Dentistry,16,193,Male
460,Medical Ophthalmology,16,67,Male
499,"Non-UK Provider; specialty function not known, treatment mainly medical",16,0,Male
501,Obstetrics,16,10,Male
502,Gynaecology,16,63,Male
504,Community Sexual and Reproductive Health,16,0,Male
560,Midwifery,16,23,Male
600,General Medical Practice,16,177,Male
601,General Dental Practice,16,229,Male
700,Learning Disability,16,580,Male
710,Adult Mental Illness,16,2637,Male
711,Child and Adolescent Psychiatry,16,19473,Male
712,Forensic Psychiatry,16,145,Male
713,Medical Psychotherapy,16,267,Male
715,Old Age Psychiatry,16,15,Male
800,Clinical Oncology,16,370,Male
810,Radiology,16,12896,Male
820,General Pathology,16,2,Male
821,Blood Transfusion,16,0,Male
822,Chemical Pathology,16,41,Male
823,Haematology,16,431,Male
824,Histopathology,16,17,Male
830,Immunopathology,16,14,Male
831,Medical Microbiology and Virology,16,4,Male
833,Medical Microbiology,16,1,Male
834,Medical Virology,16,11,Male
900,Community Medicine,16,1162,Male
901,Occupational Medicine,16,283,Male
902,Community Health Services Dental,16,9,Male
903,Public Health Medicine,16,56,Male
950,Nursing,16,15310,Male
960,Allied Health Professional,16,45822,Male
990,Joint Consultant Clinics (Retired 1 April 2004),16,4,Male
&,Not Known,17,3202,Male
100,General Surgery,17,4689,Male
101,Urology,17,4603,Male
107,Vascular Surgery,17,19,Male
110,Trauma and Orthopaedics,17,36581,Male
120,Ear Nose and Throat,17,10983,Male
130,Ophthalmology,17,10566,Male
140,Oral Surgery,17,3894,Male
141,Restorative Dentistry,17,1479,Male
142,Paediatric Dentistry,17,521,Male
143,Orthodontics,17,28715,Male
145,Oral and Maxillofacial Surgery,17,3276,Male
146,Endodontics,17,43,Male
147,Periodontics,17,7,Male
148,Prosthodontics,17,10,Male
149,Surgical Dentistry,17,3,Male
150,Neurosurgery,17,978,Male
160,Plastic Surgery,17,4614,Male
170,Cardiothoracic Surgery,17,541,Male
171,Paediatric Surgery,17,1215,Male
180,Emergency Medicine,17,1155,Male
190,Anaesthetics,17,2270,Male
191,Pain Management (Retired 1 April 2004),17,0,Male
192,Intensive Care Medicine,17,182,Male
300,General Internal Medicine,17,6965,Male
301,Gastroenterology,17,4969,Male
302,Endocrinology and Diabetes,17,2336,Male
303,Clinical Haematology,17,3104,Male
304,Clinical Physiology,17,540,Male
305,Clinical Pharmacology,17,12,Male
310,Audio Vestibular Medicine,17,1371,Male
311,Clinical Genetics,17,573,Male
313,Clinical Immunology,17,712,Male
314,Rehabilitation Medicine,17,918,Male
315,Palliative Medicine,17,157,Male
317,Allergy,17,351,Male
320,Cardiology,17,6029,Male
321,Paediatric Cardiology,17,2411,Male
325,Sport and Exercise Medicine,17,83,Male
326,Acute Internal Medicine,17,291,Male
330,Dermatology,17,16833,Male
340,Respiratory Medicine,17,3633,Male
350,Infectious Diseases,17,379,Male
352,Tropical Medicine,17,0,Male
360,Genitourinary Medicine,17,150,Male
361,Renal Medicine,17,1736,Male
370,Medical Oncology,17,910,Male
371,Nuclear Medicine,17,19,Male
400,Neurology,17,4750,Male
401,Clinical Neurophysiology,17,643,Male
410,Rheumatology,17,1696,Male
420,Paediatrics,17,30608,Male
421,Paediatric Neurology,17,781,Male
430,Geriatric Medicine,17,111,Male
450,Dental Medicine,17,1893,Male
451,Special Care Dentistry,17,168,Male
460,Medical Ophthalmology,17,83,Male
499,"Non-UK Provider; specialty function not known, treatment mainly medical",17,0,Male
501,Obstetrics,17,25,Male
502,Gynaecology,17,88,Male
504,Community Sexual and Reproductive Health,17,0,Male
560,Midwifery,17,6,Male
600,General Medical Practice,17,212,Male
601,General Dental Practice,17,259,Male
700,Learning Disability,17,488,Male
710,Adult Mental Illness,17,2823,Male
711,Child and Adolescent Psychiatry,17,19006,Male
712,Forensic Psychiatry,17,158,Male
713,Medical Psychotherapy,17,217,Male
715,Old Age Psychiatry,17,9,Male
800,Clinical Oncology,17,367,Male
810,Radiology,17,12085,Male
820,General Pathology,17,3,Male
821,Blood Transfusion,17,0,Male
822,Chemical Pathology,17,98,Male
823,Haematology,17,472,Male
824,Histopathology,17,53,Male
830,Immunopathology,17,23,Male
831,Medical Microbiology and Virology,17,0,Male
833,Medical Microbiology,17,0,Male
834,Medical Virology,17,20,Male
900,Community Medicine,17,817,Male
901,Occupational Medicine,17,208,Male
902,Community Health Services Dental,17,6,Male
903,Public Health Medicine,17,107,Male
950,Nursing,17,13800,Male
960,Allied Health Professional,17,40148,Male
990,Joint Consultant Clinics (Retired 1 April 2004),17,5,Male
&,Not Known,18,1427,Male
100,General Surgery,18,5374,Male
101,Urology,18,4631,Male
107,Vascular Surgery,18,36,Male
110,Trauma and Orthopaedics,18,30901,Male
120,Ear Nose and Throat,18,9760,Male
130,Ophthalmology,18,9722,Male
140,Oral Surgery,18,3349,Male
141,Restorative Dentistry,18,1451,Male
142,Paediatric Dentistry,18,227,Male
143,Orthodontics,18,22469,Male
145,Oral and Maxillofacial Surgery,18,3006,Male
146,Endodontics,18,62,Male
147,Periodontics,18,3,Male
148,Prosthodontics,18,30,Male
149,Surgical Dentistry,18,3,Male
150,Neurosurgery,18,967,Male
160,Plastic Surgery,18,4460,Male
170,Cardiothoracic Surgery,18,508,Male
171,Paediatric Surgery,18,334,Male
180,Emergency Medicine,18,1150,Male
190,Anaesthetics,18,2242,Male
191,Pain Management (Retired 1 April 2004),18,0,Male
192,Intensive Care Medicine,18,110,Male
300,General Internal Medicine,18,7450,Male
301,Gastroenterology,18,5600,Male
302,Endocrinology and Diabetes,18,2605,Male
303,Clinical Haematology,18,3972,Male
304,Clinical Physiology,18,578,Male
305,Clinical Pharmacology,18,11,Male
310,Audio Vestibular Medicine,18,940,Male
311,Clinical Genetics,18,523,Male
313,Clinical Immunology,18,827,Male
314,Rehabilitation Medicine,18,912,Male
315,Palliative Medicine,18,203,Male
317,Allergy,18,303,Male
320,Cardiology,18,6255,Male
321,Paediatric Cardiology,18,790,Male
325,Sport and Exercise Medicine,18,52,Male
326,Acute Internal Medicine,18,474,Male
330,Dermatology,18,14033,Male
340,Respiratory Medicine,18,3418,Male
350,Infectious Diseases,18,440,Male
352,Tropical Medicine,18,0,Male
360,Genitourinary Medicine,18,141,Male
361,Renal Medicine,18,2093,Male
370,Medical Oncology,18,941,Male
371,Nuclear Medicine,18,12,Male
400,Neurology,18,5670,Male
401,Clinical Neurophysiology,18,561,Male
410,Rheumatology,18,1634,Male
420,Paediatrics,18,10449,Male
421,Paediatric Neurology,18,312,Male
430,Geriatric Medicine,18,102,Male
450,Dental Medicine,18,1872,Male
451,Special Care Dentistry,18,158,Male
460,Medical Ophthalmology,18,71,Male
499,"Non-UK Provider; specialty function not known, treatment mainly medical",18,0,Male
501,Obstetrics,18,48,Male
502,Gynaecology,18,94,Male
504,Community Sexual and Reproductive Health,18,0,Male
560,Midwifery,18,2,Male
600,General Medical Practice,18,192,Male
601,General Dental Practice,18,194,Male
700,Learning Disability,18,1280,Male
710,Adult Mental Illness,18,5245,Male
711,Child and Adolescent Psychiatry,18,6200,Male
712,Forensic Psychiatry,18,63,Male
713,Medical Psychotherapy,18,139,Male
715,Old Age Psychiatry,18,17,Male
800,Clinical Oncology,18,725,Male
810,Radiology,18,11214,Male
820,General Pathology,18,12,Male
821,Blood Transfusion,18,0,Male
822,Chemical Pathology,18,134,Male
823,Haematology,18,486,Male
824,Histopathology,18,26,Male
830,Immunopathology,18,58,Male
831,Medical Microbiology and Virology,18,11,Male
833,Medical Microbiology,18,10,Male
834,Medical Virology,18,37,Male
900,Community Medicine,18,607,Male
901,Occupational Medicine,18,212,Male
902,Community Health Services Dental,18,7,Male
903,Public Health Medicine,18,0,Male
950,Nursing,18,11733,Male
960,Allied Health Professional,18,29410,Male
990,Joint Consultant Clinics (Retired 1 April 2004),18,1,Male
&,Not Known,20-24,955,Male
100,General Surgery,20-24,5339,Male
101,Urology,20-24,4512,Male
107,Vascular Surgery,20-24,26,Male
110,Trauma and Orthopaedics,20-24,28399,Male
